출처,index,내용
news.xml,1,특급호텔 레스토랑과 라운지바 등이 <b>MZ세대</b>들의 맛집으로 부상하고 있다. SNS를 통한 자기표현과 인증을 중요시하는 <b>MZ세대</b>들이 호텔 내 분위기 좋은 식당과 바를 찾으면서 호텔들이 SNS에서 &apos;핫플레이스&apos;로 자리 잡고 있다.... 
news.xml,2,개인의 선호에 따라 무수한 채널들을 자유롭게 활용하는 <b>MZ 세대</b> 소비자의 쇼핑 니즈에 부합해 온·오프라인의 경계를 넘나드는 디지털 콘텐츠와 서비스들도 마련된다. 키엘은 제페토 공식 월드맵 &apos;키엘 그린 라이프... 
news.xml,3,다만 삼성이 핵심 공략층으로 설정한 <b>MZ세대</b> 여성 고객 관점에서 생각해보면 한 손으로 여닫기가 쉽지 않을 것 같다는 걱정이 들었다. Z플립4에서 느낀 가장 큰 장점은 187g이라는 무게였다. 기존에 쓰던 아이폰13... 
news.xml,4,"최근 <b>MZ세대</b>들은 다양한 브랜드를 깊이 있게 경험하고, 나와 취향이 비슷한 새로운 사람들을 만나는 커뮤니티에 활발히 참여하고 있다. 이를 반영하여 나의 취향에 맞는 다양한 F&amp;B 를 즐기며, 브랜드 히스토리와 가치관을... "
news.xml,5,"푸드트래블은 연예계에서 선물로 주고받던 커피차 문화를 <b>MZ세대</b>, XY세대 모두를 아우를 수 있는 새로운 임직원 복지 콘텐츠로 개발한 &apos;기프트럭&apos; 서비스를 운영하고 있다. 지난 1년간 약 600곳, 40만 명의 직장인들에게... "
news.xml,6,"- &apos;제14회 대통령배 아마추어 e스포츠 대회&apos; 경북 대표 선발전 - 지난 12일, <b>MZ세대</b> 선수들과 이색적 메타버스 출정식…우승 결의 다져 &apos;제15회 경상북도 아마추어 e스포츠 대회&apos;가 지난달 23일, 24일 온라인 매치로 진행됐다.... "
news.xml,7,"올해 7월 최대 30명 지인에게 미니보험을 선물하는 보험 선물하기 기능을 출시했으며 삼성금융네트웍스 통합 플랫폼 모니모 전용 <b>MZ세대</b>를 위한 확정금리형 저축보험, 소액 미니보험 등을 출시했다.... "
news.xml,8,"신제품 &apos;아이스 초당옥수수&apos;를 포함해 배스킨라빈스 인기 플레이버 총 10종(사랑에 빠진 딸기, 체리쥬빌레 등)이 프린트된 티셔츠를 판매하고, 이색 브랜드 경험을 추구하는 <b>MZ 세대</b>의 니즈를 반영해 5일장과 유사한 공간... "
news.xml,9,"럭셔리 호캉스의 대명사가 되고 있는 제주 드림타워는 제주 바다와 한라산, 공항, 제주 도심을 파노라믹 뷰로 즐길 수 있는 압도적인 스케일과 전망을 발판으로 <b>MZ세대</b>는 물론 유명 셀럽도 자주 찾는 제주 관광의... "
news.xml,10,"주요 공략 대상으로 해외의 중, 저소득층 및 <b>MZ 세대</b>와 가족들을 공략한 것은 더 말할 필요도 없다. 진짜 그런지는 가격을 살펴보면 잘 알 수 있다. 비슷한 의류일 경우 아마존의 거의 3분의 1 가격에 불과하다. 이에... "
