출처,index,내용
news.xml,1,"음료 중 사이더만 취급하는 업체답게 음료 포장, 이름, 맛 등에서 <b>MZ세대</b>를 타깃으로 설정한 듯 개성이 강한 점이 매력이다. 일반 유통에서 흔히 볼 수 없는 독특한 음료를 선물로 보내고 싶다면 단연 댄싱사이더컴퍼니의... "
news.xml,2,"[출처=leadership4ir] <b>MZ세대</b>는 우리 국민의 절반을 차지하고 있다. 일의 가치와 직업의 형태, 라이프 스타일의 변화로 인해 기업들은 디지털 포용력과 네트워킹, 소통과 조정 능력을 겸비한 팀장이나 리더급 간부를... "
news.xml,3,신영섭 JW중외제약 대표는 &quot;전 세계 최고 인기 e스포츠 리그인 LCK의 공식 후원사로 참여하게 돼 기쁘다&quot;며 &quot;우리나라 e스포츠 발전에 기여하는 동시에 <b>MZ 세대</b>를 포함한 폭넓은 세대의 LoL 팬들에게 JW중외제약... 
news.xml,4,e스포츠 리그인 LCK의 공식 후원사로 참여하게 돼 기쁘다. 우리나라 e스포츠 발전에 기여하는 동시에 <b>MZ세대</b>(1980~2004년 출생자)를 포함한 폭넓은 세대의 LoL 팬들에게 JW중외제약 브랜드를 알리겠다&quot;고 말했다.
news.xml,5,"<b>MZ세대</b>에게는 이미 유행템으로 자리잡은 지 오래다. 국립중앙박물관에서 지난 해 개관한 &apos;사유의 방&apos;에 반가사유상 두 점이 나란히 전시 되었는데, 반가 자세로 한 손을 뺨에 대고 인간의 생로병사를 고민하며 깊은 생각에... "
news.xml,6,"16일 첫 방송되는 SBS &apos;식자회담&apos;에서는 食(음식)과 識(지식)이 함께 한다는 의미로 기업인부터 셰프, 외국인, <b>MZ세대</b>, 학계 전문가 등이 총출동해 &apos;식자단&apos;으로서 한식 산업의 분야별 문제점과 해법을 논의할 예정이다.... "
news.xml,7,"직접 제품의 특징을 살려 광고를 기획하고, <b>MZ세대</b>들이 주로 이용하는 틱톡에 맞는 숏폼 콘텐츠를 제작하였다. 이를 통해 신입사원들이 자연스럽게 교육 내용을 리뷰하는 한편, 이해도와 참여도를 높일 수 있었다.... "
news.xml,8,"강원도 소도시의 특별한 일상을 담은 영상 콘텐츠로 <b>MZ세대</b>에게 강원도 소도시 여행 욕구를 자극한다. 해당 영상은 하나투어 닷컴, 모바일 앱의 &apos;놀러와 강원 - 안녕, SODOSI&apos; 기획전 페이지 및 하나투어 유튜브 채널을... "
news.xml,9,"젊음의 거리 대학로답게 유독 <b>MZ세대</b>들이 상담소에 많이 찾아왔다. 진로 고민, 가족 고민 등 누구한테도 말할 수 없었던 MZ들의 고민에 오은영 박사는 진심으로 위로하고 공감하며 국민 멘토다운 모습을 보여주었다. 한편... "
news.xml,10,"젊음의 거리 대학로답게 유독 <b>MZ세대</b>들이 상담소에 많이 찾아왔다. 진로 고민, 가족 고민 등 누구한테도 말할 수 없었던 MZ들의 고민에 오은영 박사는 진심으로 위로하고 공감하며 국민 멘토다운 모습을 보여주었다."
news.xml,11,"젊음의 거리 대학로답게 유독 <b>MZ세대</b>들이 상담소에 많이 찾아왔다. 진로 고민, 가족 고민 등 누구한테도 말할 수 없었던 MZ들의 고민에 오은영 박사는 진심으로 위로하고 공감하며 국민 멘토다운 모습을 보여주었다."
news.xml,12,"◆스위트바이오, <b>MZ세대</b> 데일리 건강 위한 ‘그릭데이 go’ 전용 메뉴 출시 식품 기반 바이오테크 기업 ㈜스위트바이오(대표 오종민)가 그릭요거트 유·무인 하이브리드 매장 ‘그릭데이 go’에서 헬시플레저 컨셉의 전용... "
news.xml,13,신영섭 JW중외제약 대표는 &quot;전 세계 최고 인기 e스포츠 리그인 LCK의 공식 후원사로 참여하게 돼 기쁘다&quot;며 &quot;우리나라 e스포츠 발전에 기여하는 동시에 <b>MZ세대</b>를 포함한 폭넓은 세대의 LoL 팬들에게 JW중외제약... 
news.xml,14,"이날 활동 우수 팀으로 선정된 3개 워크스테이션 중 ‘파동’은 SNS의 파급력과 <b>MZ세대</b>의 가치 소비 경향에 주목해 실종아동 문제를 해결하는 워크스테이션을 진행하고 있으며, ‘Y-me’는 노이즈 캔슬링 기술을... "
news.xml,15,"한편, 올해 창립 20주년을 맞은 신한금융투자는 본사 사옥 매각을 통한 대대적인 자본 확충과 함께, <b>MZ 세대</b> 젊은 직원들로 구성된 주니어보드의 콘클라베 경영 참여 등의 전사적 내부 혁신을 추진하고 있다."
news.xml,16,"최예나 최성민 남매는 요새 <b>MZ 세대</b> 남매의 모습을 보였다. 일어나자마자 스마트폰을 이용한 전등 켜기, 스마트폰으로 음식 배달, 안무 완성을 스마트폰으로 촬영 후 확인하기, 신곡 챌린지 영상을 핸드폰으로 찍은 후... "
news.xml,17,"젊음의 거리 대학로답게 유독 <b>MZ세대</b>들이 상담소에 많이 찾아왔다. 진로 고민, 가족 고민 등 누구한테도 말할 수 없었던 MZ들의 고민에 오은영 박사는 진심으로 위로하고 공감하며 국민 멘토다운 모습을 보여주었다.... "
news.xml,18,"패션 부문은 코오롱스포츠의 상품 경쟁력 강화와 <b>MZ세대</b> 고객 증가, 골프 브랜드와 신규 브랜드의 성장으로 매출과 이익률 모두 성장을 이루어냈다. 회사 측은 대외 리스크가 높은 불확실한 상황이지만... "
news.xml,19,"이영렬 센터장은 “<b>MZ세대</b>의 심리·정서 지원을 위해서는 그들의 욕구에 부합하는 보다 다각적이고 효율적인 접근이 필요하다”며, “온라인 사회극으로 정신건강 및 감정을 정화함으로써, 대학생들이 겪고 있는... "
news.xml,20,"대표팀에게는 소정의 상금과 게이밍 장비, 유니폼 지급과 함께 종목별 프로게이머 코칭 등 트레이닝 프로그램을 통해 전국 대회를 준비할 예정이다.이를 위해 지난 12일 경북 대표팀 출정식이 <b>MZ세대</b>인 선수들의... "
news.xml,21,<b>MZ세대</b>에게 유행한다는 아샷추(아이스티에 샷 추가)를 주문하는 최예나. 최예나는 &quot;온도를 18도로 맞춰달라&quot; &quot;안 바빠보이는데 직접 갖다달라&quot;면서 오빠에게 티격태격 시비를 건다. 최성민은 웃으면서도 여유롭게... 
news.xml,22,"70%가 <b>MZ세대</b> -‘상장 추진’ LG CNS, 2Q 매출 첫 1조 돌파 -19세기 전화기부터 스마트폰까지…통신史 한 눈에 -“갤버즈2 프로 90%가 ‘재활용 소재’…올해 폐어망 50t 수거할 것” △소비자생활 -농심, 24년만에 적자... "
news.xml,23,이러한 트렌드에 발맞추어 각 대학별 학과 개편을 통한 <b>MZ세대</b>를 겨냥한 학과들이 속속 등장하고 있는 가운데 23학년도 경주대학교에서 신설되는 이색학과를 소개하고자 한다.△ K-컬쳐학부의  K-푸드 &amp; 엔터테인먼트... 
news.xml,24,특히 <b>MZ세대</b>인 20~30대의 극단적 선택 비율이 전체의 절반에 육박했다. 소방청은 이 같은 내용의 통계 분석 결과를 16일 공개했다. 분석에 따르면 2017년부터 지난해까지 5년간 극단적 선택으로 사망한 소방공무원은... 
news.xml,25,특히 레트로가 유행하는 시대적 트렌드에 맞춰 LP플레이어와 같은 음악기기를 비치해 <b>MZ세대</b>인 10∼20대들이 사진으로만 접하던 문화를 직접 체험하는 기회를 제공한다. 북구도서관 관계자는 &quot;급속한 디지털 환경... 
news.xml,26,신영섭 JW중외제약 대표는 “전 세계 최고 인기 e스포츠 리그인 LCK의 공식 후원사로 참여하게 돼 기쁘다”며 “우리나라 e스포츠 발전에 기여하는 동시에 <b>MZ세대</b>를 포함한 폭넓은 세대의 LoL 팬들에게... 
news.xml,27,"대표적으로 지난 8월 5일(금)에 이탈리아 명품 브랜드 ‘보테가베네타’가 오픈하여 명품 소비에 적극적인 <b>MZ세대</b>들을 위해 다양한 컬렉션 상품을 선보이고 있으며, 8월 28일(일)까지 1층에서는 해외 명품 브랜드... "
news.xml,28,<b>MZ세대</b>의 이탈과 함께 업황 ‘피크아웃’ 우려가 커졌다는 분석인데요. 의 보도입니다.[기자]이달 들어 골프 관련주가 내림세를 보이고 있습니다.오늘(16일) 한국거래소에 따르면 골프 산업 대표주라 불리는 골프존은... 
news.xml,29,"이후로 공개된 프로젝에서는 <b>MZ세대</b> 부유층과 유명인 등이 자신들만의 특별한 존재감을 드러내려, PFP NFT를 SNS 등에 게시하기 시작했다. 위 &apos;BAYC&apos; 이미지는 비슷하게 생겼는데 가격은 각각 다르다. 별 차이 없어... "
news.xml,30,"패션 부문은 코오롱스포츠의 상품 경쟁력 강화와 <b>MZ세대</b> 고객 증가, 골프 브랜드와 신규 브랜드 성장으로 매출과 이익률 모두 성장했다. 코오롱은 &quot;대외 리스크가 높은 불확실한 상황이지만 산업자재부문 호실적과... "
news.xml,31,<b>MZ세대</b> 워너비 아이콘으로 주목받고 있는 장원영의 당당하고 건강한 에너지와 자신감 있는 스타일이 젊고 역동적인 아웃도어 스타일을 선보이는 아이더와 잘 부합해 이번 시즌 광고 모델로 선정하게 되었다고... 
news.xml,32,"이영렬 센터장은 &quot;<b>MZ세대</b>의 심리·정서 지원을 위해서는 그들의 욕구에 부합하는 보다 다각적이고 효율적인 접근이 필요하다&quot;며, &quot;온라인 사회극으로 정신건강 및 감정을 정화함으로써, 대학생들이 겪고 있는 과도기적... "
news.xml,33,"진천군에 따르면 군은 최근 <b>MZ세대</b> 구성원 비율이 증가하는 추세에 따라 그간의 조직문화를 되돌아보고, 불합리하거나 비효율적인 관행을 발굴하고 이를 타파하기 위한 개선방안을 모색하기 위해 민선 8기 출범과 동시에... "
news.xml,34,이 가게의 큰손은 다름 아닌 ‘또 다른 나’를 만나는 재미에 푹 빠진 <b>MZ세대</b>다. 39세의 젊은 사장이 <b>MZ세대</b>를 사로잡은 특별한 비법을 공개한다. ■ 예능 ■ 대한외국인(MBC 에브리원 오후 8시30분) = ‘예능 여걸 포’... 
news.xml,35,"군은 행정기관 최초로 시행하는 V컬러링 홍보마케팅을 시작으로 유튜브 디스커버리 배너광고, 장수군 직영 온라인 쇼핑몰 SNS 등 <b>MZ세대</b>를 겨낭한 감성 마케팅도 꾸준히 추진할 계획이다. 최훈식 군수는 “청정한... "
news.xml,36,"586세대, X세대, <b>MZ세대</b> 등 여러 세대가 어울려 살아가는 직장 속에서 서로의 생각이 다르다고 외면하고 서로 등을 돌려 버리는 상황이 발생하면 직장생활이 힘들어 질 수 있다. 우리 소방조직과 같이 위험하고 급박한... "
news.xml,37,"‘ESG 혁신 주니어보드’는 ESG 경영 혁신을 목표로 상향식 의견 표출과 수평적 대화의 장을 위해 마련된 회의체로, <b>MZ세대</b> 실무자 12명으로 구성됐다. 이날 발대식은 위촉장 수여를 시작으로 이사장의 혁신에 관한 방향... "
news.xml,38,"이 때문에 소액으로 안전하게 수익을 거둘 수 있는 투자처가 <b>MZ세대</b>의 주목받고 있다. 대표적인 게 조각투자, 공동투자다. 고액의 자산(소유권·채권 등)을 다수의 개인이 나눠 갖는 것으로, 소액투자자가 모여 자산을... "
